samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-5	-5	0	-5	40	0	-35	-10	
1	-5	-5	0	-5	40	0	-35	-10	
2	-10	-5	0	-5	40	0	-35	-10	
3	-10	-5	0	0	40	5	-30	-10	
4	-10	-5	-5	0	40	5	-30	-10	
5	-10	-5	-5	0	40	5	-30	-10	
6	-10	-5	-5	0	40	5	-30	-10	
7	-10	-5	-5	5	40	10	-30	-10	
8	-5	-5	-5	5	45	10	-25	-10	
9	-5	0	-10	5	45	10	-25	-10	
10	0	0	-10	5	45	10	-25	-10	
11	0	5	-10	10	45	10	-25	-10	
12	5	5	-10	10	45	10	-25	-10	
13	5	5	-15	10	40	10	-25	-15	
14	5	5	-15	10	40	10	-25	-15	
15	5	5	-15	10	40	10	-25	-15	
16	5	5	-15	10	35	5	-25	-20	
17	5	5	-15	10	35	5	-25	-20	
18	5	5	-15	10	30	5	-25	-25	
19	0	0	-15	10	30	0	-30	-25	
20	0	-5	-15	10	25	0	-30	-30	
21	0	-5	-15	10	25	-5	-30	-30	
22	-5	-10	-15	10	20	-5	-35	-30	
23	-5	-15	-15	10	20	-10	-35	-35	
24	-5	-20	-10	10	20	-10	-40	-35	
25	-5	-20	-10	10	20	-15	-40	-35	
26	-5	-25	-10	10	20	-15	-40	-35	
27	-5	-30	-5	15	20	-15	-40	-35	
28	-5	-30	-5	15	15	-15	-40	-35	
29	-5	-30	0	15	15	-15	-45	-35	
30	-5	-30	0	15	15	-20	-45	-35	
31	-5	-30	0	15	15	-20	-45	-35	
32	-5	-30	5	20	15	-20	-40	-35	
33	-5	-30	5	20	15	-20	-40	-35	
34	-5	-25	5	20	15	-15	-40	-30	
35	0	-25	10	20	15	-15	-40	-30	
36	0	-20	10	25	15	-15	-40	-30	
37	0	-15	10	25	15	-15	-35	-25	
38	0	-10	10	25	15	-15	-35	-25	
39	5	-5	10	25	15	-10	-30	-25	
40	5	0	10	30	15	-10	-30	-20	
41	10	5	10	30	15	-10	-25	-20	
42	10	10	5	25	10	-10	-25	-15	
43	10	15	5	25	10	-5	-25	-15	
44	10	20	5	25	10	-5	-20	-10	
45	10	20	5	20	10	-10	-20	-10	
46	10	25	0	15	5	-10	-25	-10	
47	10	25	0	15	10	-10	-30	-10	
48	5	25	5	15	10	-15	-35	-15	
49	0	25	5	15	15	-15	-40	-20	
50	-5	20	10	25	25	-15	-50	-30	
51	-15	10	20	35	45	-15	-60	-40	
52	-20	0	25	55	65	-15	-70	-55	
53	-30	-10	40	80	90	-5	-80	-70	
54	-35	-25	50	110	120	5	-90	-85	
55	-40	-40	65	150	160	20	-95	-105	
56	-40	-60	80	190	200	45	-90	-115	
57	-40	-75	95	235	240	75	-80	-125	
58	-35	-95	105	280	285	115	-55	-125	
59	-25	-105	110	315	320	165	-15	-115	
60	-15	-115	110	345	350	220	45	-95	
61	5	-120	105	355	370	290	125	-60	
62	30	-120	90	355	375	360	225	-5	
63	60	-110	70	330	365	445	345	70	
64	90	-90	35	285	335	530	480	160	
65	125	-65	-5	220	290	615	635	270	
66	160	-35	-55	130	225	695	795	395	
67	195	5	-110	25	145	765	955	525	
68	230	45	-170	-95	50	825	1110	660	
69	255	85	-230	-225	-55	870	1245	795	
70	275	120	-285	-360	-165	885	1350	915	
71	285	155	-335	-495	-280	875	1425	1015	
72	280	180	-375	-620	-390	835	1450	1095	
73	270	200	-405	-730	-495	760	1430	1140	
74	245	210	-425	-825	-590	660	1360	1150	
75	205	210	-425	-900	-670	535	1245	1120	
76	160	200	-415	-955	-730	385	1085	1055	
77	105	185	-395	-985	-780	220	895	955	
78	45	160	-365	-995	-805	55	680	830	
79	-15	130	-325	-985	-815	-110	455	685	
80	-75	100	-275	-955	-810	-265	235	525	
81	-130	70	-230	-910	-785	-400	25	360	
82	-175	40	-180	-850	-745	-510	-160	200	
83	-210	10	-135	-780	-695	-590	-310	55	
84	-235	-10	-95	-705	-635	-640	-430	-70	
85	-250	-30	-60	-630	-570	-660	-510	-170	
86	-255	-45	-30	-550	-500	-655	-550	-250	
87	-250	-55	-5	-470	-430	-620	-560	-300	
88	-235	-65	10	-395	-360	-570	-545	-330	
89	-215	-65	20	-320	-295	-510	-510	-340	
90	-190	-65	30	-255	-235	-440	-460	-335	
91	-165	-65	35	-195	-175	-370	-400	-315	
92	-140	-65	35	-145	-130	-305	-345	-290	
93	-120	-60	35	-100	-85	-240	-290	-260	
94	-95	-55	35	-60	-55	-190	-240	-230	
95	-80	-50	35	-30	-25	-145	-195	-200	
96	-60	-45	35	-5	-5	-110	-160	-175	
97	-50	-40	35	15	10	-85	-135	-155	
98	-35	-35	35	30	25	-65	-115	-135	
99	-30	-30	40	45	30	-55	-105	-125	
100	-20	-25	40	55	35	-45	-95	-115	
101	-15	-20	40	60	40	-40	-90	-110	
102	-15	-20	40	65	40	-40	-90	-105	
103	-10	-20	40	70	40	-40	-85	-100	
104	-10	-20	35	70	40	-40	-85	-100	
105	-10	-20	35	70	40	-40	-85	-100	
106	-10	-20	30	70	40	-40	-90	-95	
107	-10	-25	30	70	40	-40	-90	-95	
108	-15	-25	25	65	40	-40	-90	-95	
