samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-22	-12	12	36	56	18	-2	-8	
1	-20	-10	12	36	56	20	0	-8	
2	-18	-10	10	36	58	20	0	-8	
3	-16	-10	10	36	58	22	0	-8	
4	-14	-8	8	34	60	24	2	-8	
5	-12	-8	8	34	60	26	2	-8	
6	-10	-6	8	34	62	26	2	-8	
7	-10	-4	8	34	64	28	4	-8	
8	-8	-4	6	36	66	30	4	-8	
9	-8	-2	6	36	66	32	6	-8	
10	-6	0	6	36	68	34	6	-8	
11	-6	0	6	36	70	36	8	-8	
12	-6	2	6	38	74	38	10	-6	
13	-6	4	6	38	76	42	10	-6	
14	-6	6	8	40	78	44	12	-4	
15	-6	6	8	42	80	46	14	-4	
16	-6	8	8	42	84	50	16	-2	
17	-6	10	8	44	86	52	18	0	
18	-6	12	10	46	88	54	22	2	
19	-6	12	10	48	92	58	24	4	
20	-8	14	10	50	94	60	26	6	
21	-8	16	10	50	96	64	30	8	
22	-8	16	10	52	100	66	32	10	
23	-8	18	10	54	102	70	36	12	
24	-8	20	10	54	104	74	38	14	
25	-6	22	10	56	106	76	42	16	
26	-6	24	8	56	110	80	44	18	
27	-4	26	8	56	112	84	48	20	
28	-2	28	8	56	114	88	50	22	
29	0	30	6	58	118	92	54	24	
30	2	32	4	58	120	96	56	26	
31	4	36	4	58	122	100	60	28	
32	6	38	2	58	126	104	64	30	
33	8	42	0	58	128	108	68	34	
34	10	44	0	58	130	112	72	36	
35	12	48	-2	58	134	116	76	38	
36	16	52	-4	60	136	118	78	42	
37	18	56	-6	60	138	122	82	44	
38	20	60	-6	58	138	124	86	46	
39	22	62	-8	58	140	126	90	48	
40	26	66	-10	58	140	130	92	52	
41	28	70	-12	58	142	132	96	54	
42	32	72	-14	56	142	134	100	56	
43	34	74	-16	56	142	136	102	58	
44	38	78	-18	54	142	136	104	60	
45	40	80	-20	52	140	138	108	62	
46	44	82	-22	50	140	140	110	62	
47	46	84	-24	48	138	142	112	64	
48	50	86	-26	48	138	142	114	66	
49	52	86	-28	46	136	144	116	68	
50	54	88	-30	44	134	144	118	68	
51	56	88	-30	42	134	144	118	70	
52	58	90	-32	42	132	146	120	70	
53	58	90	-34	40	130	146	120	70	
54	58	90	-34	38	128	146	120	72	
55	58	88	-36	38	126	144	120	72	
56	58	88	-38	36	124	144	120	72	
57	56	86	-38	34	122	142	120	72	
58	56	86	-40	32	118	140	118	72	
59	56	84	-40	32	116	138	118	72	
60	54	84	-40	30	112	136	116	70	
61	54	82	-40	28	108	134	114	70	
62	52	80	-42	24	104	130	112	68	
63	52	78	-42	22	100	126	110	66	
64	50	76	-42	20	96	122	108	64	
65	50	74	-42	18	90	118	104	62	
66	48	72	-42	14	86	114	102	60	
67	48	70	-40	12	82	108	98	58	
68	48	66	-40	10	76	104	94	56	
69	48	64	-40	8	72	98	90	54	
70	46	60	-40	6	66	92	86	50	
71	46	56	-38	4	62	88	80	48	
72	46	52	-38	2	56	82	76	44	
73	44	48	-38	0	52	76	72	42	
74	44	44	-36	-2	46	72	66	38	
75	42	40	-36	-2	42	66	62	34	
76	42	36	-34	-4	38	62	56	32	
77	40	32	-34	-6	34	58	52	28	
78	38	28	-32	-6	28	54	48	24	
79	36	24	-32	-8	24	48	42	22	
80	34	20	-30	-8	20	44	38	18	
81	30	16	-28	-10	16	40	32	14	
82	28	14	-28	-10	12	34	28	10	
83	24	10	-26	-12	8	30	24	6	
84	22	8	-24	-12	4	26	18	4	
85	18	6	-24	-14	2	20	14	0	
86	16	4	-22	-14	-2	16	10	-4	
87	12	2	-22	-14	-6	12	6	-6	
88	10	0	-20	-16	-8	8	2	-8	
89	8	0	-18	-16	-12	4	-2	-10	
90	6	-2	-18	-16	-14	2	-4	-12	
91	4	-4	-16	-16	-16	-2	-6	-14	
92	2	-6	-14	-16	-18	-4	-8	-16	
93	2	-6	-12	-16	-20	-6	-10	-16	
94	0	-8	-12	-16	-20	-8	-10	-16	
95	0	-10	-10	-14	-22	-8	-12	-16	
96	-2	-12	-10	-14	-22	-10	-12	-16	
97	-2	-12	-8	-14	-22	-10	-12	-16	
98	-4	-14	-8	-14	-22	-12	-12	-16	
99	-4	-14	-6	-14	-22	-12	-14	-16	
100	-6	-16	-6	-14	-22	-12	-14	-16	
101	-6	-16	-4	-14	-22	-14	-16	-18	
102	-6	-18	-4	-14	-24	-14	-16	-18	
103	-8	-18	-4	-14	-24	-16	-18	-18	
104	-8	-18	-4	-14	-24	-18	-20	-18	
105	-8	-20	-4	-14	-24	-18	-22	-20	
106	-8	-20	-4	-16	-26	-20	-22	-20	
107	-8	-20	-4	-16	-26	-20	-24	-22	
108	-8	-20	-4	-16	-26	-20	-26	-22	
109	-8	-22	-4	-16	-28	-22	-26	-22	
110	-8	-22	-4	-16	-28	-22	-28	-22	
111	-8	-22	-2	-16	-28	-22	-28	-22	
112	-8	-22	-2	-16	-28	-22	-28	-24	
113	-8	-22	-2	-16	-28	-22	-30	-24	
114	-8	-22	-2	-16	-28	-22	-30	-24	
115	-8	-22	-2	-16	-28	-22	-30	-24	
116	-6	-22	-2	-16	-28	-22	-30	-24	
117	-6	-22	-2	-16	-28	-22	-32	-24	
118	-4	-22	-2	-16	-28	-22	-32	-26	
119	-4	-22	-2	-16	-28	-22	-32	-26	
120	-2	-20	-2	-18	-28	-22	-34	-28	
121	0	-20	-2	-18	-28	-24	-34	-28	
122	2	-20	-2	-18	-28	-24	-36	-30	
123	2	-20	-2	-18	-28	-26	-38	-32	
124	4	-20	-2	-20	-28	-26	-38	-32	
125	6	-22	-2	-20	-28	-26	-40	-34	
126	8	-22	-2	-20	-28	-28	-40	-36	
127	10	-22	-4	-20	-28	-28	-40	-36	
128	10	-24	-4	-20	-28	-28	-42	-36	
129	12	-24	-4	-20	-28	-28	-42	-36	
130	12	-24	-4	-20	-28	-30	-42	-38	
131	14	-26	-4	-20	-28	-30	-42	-36	
132	14	-26	-4	-20	-28	-30	-40	-36	
133	14	-24	-4	-18	-26	-28	-40	-36	
134	16	-24	-4	-18	-26	-28	-40	-36	
135	16	-24	-4	-16	-26	-28	-38	-34	
136	16	-22	-2	-16	-26	-28	-38	-34	
137	14	-22	-2	-14	-24	-28	-36	-32	
138	14	-20	-2	-14	-24	-28	-36	-32	
139	14	-20	0	-12	-24	-28	-34	-32	
140	14	-20	0	-12	-22	-26	-34	-30	
141	12	-20	0	-12	-22	-26	-34	-30	
142	12	-20	0	-12	-22	-26	-34	-30	
143	12	-20	0	-12	-22	-26	-34	-30	
144	12	-20	0	-12	-22	-26	-34	-30	
145	12	-22	0	-12	-22	-26	-34	-30	
146	12	-22	0	-14	-22	-26	-34	-30	
147	12	-22	-2	-14	-24	-26	-34	-30	
148	14	-22	-2	-16	-24	-26	-34	-30	
149	16	-22	-2	-16	-24	-26	-36	-32	
150	18	-22	-4	-18	-24	-26	-36	-32	
151	20	-22	-4	-18	-24	-26	-36	-34	
152	20	-20	-4	-20	-24	-28	-36	-34	
153	22	-20	-4	-20	-24	-28	-36	-36	
154	24	-18	-4	-20	-24	-28	-36	-36	
155	24	-18	-4	-20	-24	-28	-38	-38	
156	26	-16	-4	-20	-24	-28	-38	-38	
157	26	-16	-2	-20	-24	-28	-38	-38	
158	26	-14	-2	-20	-24	-28	-38	-38	
159	24	-12	-2	-20	-22	-28	-36	-38	
160	24	-12	0	-20	-22	-26	-36	-38	
161	22	-12	0	-18	-20	-26	-36	-36	
162	22	-10	0	-18	-20	-24	-34	-36	
163	20	-10	0	-18	-20	-24	-32	-34	
164	20	-10	0	-16	-18	-22	-32	-32	
165	18	-10	0	-16	-18	-22	-30	-30	
166	16	-8	0	-16	-16	-20	-28	-28	
167	16	-8	0	-16	-16	-20	-26	-26	
168	16	-8	0	-14	-16	-20	-26	-24	
169	14	-10	0	-14	-14	-20	-24	-22	
170	14	-10	0	-14	-14	-20	-24	-20	
171	14	-10	0	-14	-14	-20	-24	-20	
172	14	-10	0	-16	-14	-22	-24	-18	
173	14	-12	0	-16	-14	-22	-24	-18	
174	12	-12	0	-16	-16	-22	-24	-18	
175	12	-14	0	-16	-16	-24	-24	-18	
176	12	-14	0	-18	-16	-24	-26	-20	
177	10	-16	0	-18	-18	-26	-26	-20	
178	10	-16	0	-18	-18	-26	-26	-22	
179	10	-16	0	-20	-20	-28	-26	-22	
180	8	-18	0	-20	-20	-28	-26	-24	
181	8	-18	0	-22	-22	-28	-28	-26	
182	8	-18	0	-22	-22	-28	-28	-28	
183	8	-16	0	-22	-24	-28	-28	-28	
184	8	-16	0	-24	-24	-28	-28	-30	
185	8	-16	0	-24	-24	-28	-28	-32	
186	8	-16	0	-24	-26	-28	-26	-32	
187	8	-14	0	-24	-26	-28	-26	-34	
188	8	-14	-2	-24	-26	-28	-26	-34	
189	8	-14	-2	-24	-26	-26	-26	-34	
190	8	-14	-2	-24	-26	-26	-26	-34	
191	8	-14	-2	-24	-26	-26	-24	-32	
192	6	-16	0	-22	-26	-26	-24	-32	
193	4	-16	0	-22	-24	-24	-24	-30	
194	4	-16	0	-20	-24	-24	-22	-28	
195	2	-16	2	-20	-24	-24	-22	-26	
196	0	-18	2	-18	-22	-24	-20	-26	
197	0	-18	4	-18	-22	-24	-20	-24	
198	-2	-18	4	-16	-22	-24	-18	-22	
199	-2	-18	6	-16	-22	-24	-18	-20	
200	-4	-18	6	-14	-22	-24	-18	-20	
201	-4	-18	6	-14	-20	-24	-18	-18	
202	-4	-18	6	-14	-20	-24	-18	-18	
203	-4	-16	8	-14	-22	-24	-20	-18	
204	-4	-16	6	-14	-22	-26	-20	-18	
205	-4	-16	6	-16	-22	-26	-20	-20	
206	-4	-16	6	-16	-22	-28	-22	-20	
207	-4	-16	4	-18	-24	-28	-22	-20	
208	-4	-16	4	-18	-24	-30	-22	-22	
209	-4	-16	2	-18	-24	-30	-22	-22	
210	-2	-16	2	-20	-24	-30	-24	-22	
211	-2	-16	0	-20	-26	-30	-24	-22	
212	-2	-16	0	-22	-26	-30	-24	-22	
213	0	-16	-2	-22	-26	-30	-22	-22	
214	0	-16	-2	-22	-26	-30	-22	-22	
215	2	-16	-2	-22	-26	-30	-22	-22	
216	4	-16	-2	-22	-26	-28	-22	-22	
217	6	-16	-2	-22	-26	-28	-22	-22	
218	8	-16	-2	-22	-28	-28	-22	-24	
219	10	-16	-2	-22	-28	-28	-22	-24	
220	12	-16	-2	-22	-28	-28	-22	-24	
221	12	-16	-2	-22	-28	-28	-24	-26	
222	14	-16	0	-22	-30	-28	-24	-26	
